Reaction_type,P,S1,S2,pred_best_methods,pred_best_methods_str,pred_best_score,error,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_AM-V_P,pred_AM-V_S1,pred_AM-V_S2
acylation,Cc1ccc(S(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)cc1,Cc1ccc(S(N)(=O)=O)cc1,O=C(O)C(c1ccccc1)c1ccccc1,['AM-III'],AM-III,1.0,,,,,,,,0.9793964270325879,0.8650904130655879,1.0,0.8511276117337092,0.8577455471988394,0.9276318878580171,,,,93.59074749761939,66.99941900882311,81.30656609627442,,,,,,
acylation,Cc1ccc(CNC(=O)/C=C/c2ccccc2)cc1,Cc1ccc(CN)cc1,O=C(O)/C=C/c1ccccc1,['AM-I'],AM-I,1.0,,82.00695883602869,45.0875933616963,60.46867708320963,,,,1.0,0.8290650440698221,0.969679134992362,0.966138531302983,0.7095316155963419,0.9488214130275909,,,,,,,,,,,,
acylation,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,['AM-I'],AM-I,1.0,,72.9468949553126,46.49115479609975,59.85698663652312,,,,1.0,0.6597531322096923,0.9986853073557966,0.8515400264262608,0.6949316830574004,0.969541546427834,,,,,,,,,,,,
acylation,COc1ccc(CC(=O)Nc2ccc(C(C)=O)cc2)cc1,CC(=O)c1ccc(N)cc1,COc1ccc(CC(=O)O)cc1,['AM-I'],AM-I,0.9931511442941705,,67.86672013042286,46.49115479609975,59.02492869722752,,,,0.9931511442941705,0.6329194792352605,0.9774435684299158,0.8213226702504264,0.6236805783615929,0.9649808043659845,,,,,,,,,,,,
acylation,CC(=O)c1ccc(NC(=O)Cc2cc(F)cc(F)c2)cc1,CC(=O)c1ccc(N)cc1,O=C(O)Cc1cc(F)cc(F)c1,"['AM-I', 'AM-III']","AM-I, AM-III",1.0,,75.95228907608723,46.49115479609975,63.179183723934656,,,,1.0,0.6355335531442177,1.0,0.8238474647749557,0.703677859705939,0.9813300569868538,,,,82.80975492921789,63.00277126370548,72.45038794876359,,,,,,
acylation,CC(=O)c1ccc(NC(=O)C(C)c2ccc(CC3CCCC3=O)cc2)cc1,CC(=O)c1ccc(N)cc1,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,"['AM-I', 'AM-III']","AM-I, AM-III",1.0,,76.32167598513537,46.49115479609975,65.52475958401514,,,,1.0,0.6773579055393275,1.0,0.8841885088373,0.6490855927902242,0.9459342476677725,,,,86.40911334420471,63.00277126370548,74.37472700502366,,,,,,
acylation,CC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cc1,CC(=O)c1ccc(N)cc1,O=C(O)Cc1ccc2c(c1)OCO2,['AM-I'],AM-I,1.0,,72.40522764366604,46.49115479609975,58.30749372218816,,,,1.0,0.690212525020282,0.9715731061797588,0.7900243712606179,0.5746516124157524,0.9508214356498164,,,,,,,,,,,,
acylation,CC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1,CC(=O)c1ccc(N)cc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,['AM-III'],AM-III,1.0,,,,,,,,0.9534200753919088,0.7093378870165085,1.0,0.7441385605006103,0.6384696947376418,0.9467277996156285,,,,87.00942391165131,63.00277126370548,77.50995138791959,,,,,,
acylation,CC(=O)c1ccc(NC(=O)/C=C/c2ccccc2)cc1,CC(=O)c1ccc(N)cc1,O=C(O)/C=C/c1ccccc1,['AM-I'],AM-I,1.0,,73.03980648558174,46.49115479609975,60.46867708320963,,,,1.0,0.8547157470994828,0.9841824431347596,0.8948801836422503,0.6543943577219536,0.976670627179715,,,,,,,,,,,,
acylation,CC(=O)c1ccc(NC(=O)c2c(C)cccc2C)cc1,CC(=O)c1ccc(N)cc1,Cc1cccc(C)c1C(=O)O,['AM-I'],AM-I,1.0,,71.95721986969717,46.49115479609975,59.6692463644063,,,,1.0,0.6544858146877184,0.9935653478428335,0.9270272676953827,0.8721897776765581,0.9821529135423082,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)Cc2ccc(C)cc2)cn1,COc1ccc(N)cn1,Cc1ccc(CC(=O)O)cc1,['AM-I'],AM-I,1.0,,72.30628744651524,37.3584481987548,59.85698663652312,,,,1.0,0.6235057046139724,0.9384024599465157,0.7420755116851889,0.8740746339492492,0.9079919769848811,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)COc2ccccc2)cn1,COc1ccc(N)cn1,O=C(O)COc1ccccc1,['AM-I'],AM-I,1.0,,66.74582199505396,37.3584481987548,55.616426006761046,,,,1.0,0.7722808054399646,0.9688810893602624,0.7810230424875986,0.7020524776563215,0.9300262377321636,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)Cc2cc(F)cc(F)c2)cn1,COc1ccc(N)cn1,O=C(O)Cc1cc(F)cc(F)c1,['AM-I'],AM-I,1.0,,75.07047484811537,37.3584481987548,63.179183723934656,,,,1.0,0.6810864312109843,0.8943381472677058,0.7232845214651468,0.863329162443352,0.9037689120911836,,,,,,,,,,,,
acylation,Cc1ccc(N(C(=O)C(C)c2ccc(CC3CCCC3=O)cc2)c2ccccc2)cc1,Cc1ccc(Nc2ccccc2)cc1,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,['AM-I'],AM-I,1.0,,90.9366706558659,81.5967923415172,65.52475958401514,,,,1.0,0.8652807629116319,0.9588545750180506,0.9087285175272224,0.8537860872470444,0.9874930827850551,,,,,,,,,,,,
acylation,CC(C(=O)NCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,NCc1ccccc1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,['AM-III'],AM-III,1.0,,,,,,,,0.9349298723905497,0.6851006986891965,1.0,0.8643031917792988,0.8465490347549218,0.8666065088663402,,,,97.19087418852229,66.30661363773538,85.80382017233188,,,,,,
acylation,O=C(NCc1ccccc1)C1c2ccccc2Oc2ccccc21,NCc1ccccc1,O=C(O)C1c2ccccc2Oc2ccccc21,['AM-III'],AM-III,1.0,,,,,,,,0.8343149523474382,0.7057696863335985,1.0,0.8489698586284409,0.7717409360441788,0.8573029109940664,,,,92.03851711469736,66.30661363773538,79.63650697014793,,,,,,
acylation,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)NCc1ccccc1,NCc1ccccc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,['AM-III'],AM-III,1.0,,,,,,,,0.8747280710940073,0.6420229800865077,1.0,0.7500449494548593,0.5926046913322521,0.8771469413770142,,,,87.59046434510088,66.30661363773538,77.50995138791959,,,,,,
acylation,O=C(NCc1ccccc1)c1ccc([N+](=O)[O-])cc1,NCc1ccccc1,O=C(O)c1ccc([N+](=O)[O-])cc1,['AM-I'],AM-I,1.0,,73.84186163016338,44.505779893874,60.09952144165908,,,,1.0,0.7309392498390488,0.9690332210504343,0.8375410114974333,0.5151591764759138,0.7038620154609576,,,,,,,,,,,,
acylation,Cc1cc(C)cc(C(=O)NCc2ccc(F)cc2F)c1,NCc1ccc(F)cc1F,Cc1cc(C)cc(C(=O)O)c1,['AM-I'],AM-I,1.0,,81.10111254631568,49.9631457228909,66.6856239815535,,,,1.0,0.8023091997789151,0.975784231781118,0.9245160650565473,0.8306139179328834,0.9655246785174761,,,,,,,,,,,,
