Reaction_type,P,S1,S2,pred_best_methods,pred_best_methods_str,pred_best_score,error,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_AM-V_P,pred_AM-V_S1,pred_AM-V_S2
acylation,COc1ccc(CC(=O)NCc2ccc(C)cc2)cc1,Cc1ccc(CN)cc1,COc1ccc(CC(=O)O)cc1,['AM-I'],AM-I,1,,71.5068637932196,46.20474760355198,56.9448496590927,,,,1,0.77089209212538,0.9777453808632024,0.9390281218774377,0.7204511934418218,0.9128922417990444,,,,,,,,,,,,
acylation,Cc1ccc(CNC(=O)c2c(C)cccc2C)cc1,Cc1ccc(CN)cc1,Cc1cccc(C)c1C(=O)O,['AM-I'],AM-I,1,,78.42868233911977,46.20474760355198,59.840545326686154,,,,1,0.7445403718479784,0.9601299668970183,0.9630140749685682,0.8014129701235139,0.9624642122597467,,,,,,,,,,,,
acylation,Cc1ccc(CNC(=O)Cc2ccc3c(c2)OCO3)cc1,Cc1ccc(CN)cc1,O=C(O)Cc1ccc2c(c1)OCO2,['AM-I'],AM-I,1,,71.92010766160654,46.20474760355198,58.07690940465211,,,,1,0.6799942968213523,0.9829627739396969,0.8966907835099275,0.675736736082873,0.8647340191117251,,,,,,,,,,,,
acylation,COc1ccc(CNC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)cc1,COc1ccc(CN)cc1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,['AM-III'],AM-III,1,,,,,,,,0.7078698809502384,0.6277110861497546,1,0.8645878935514819,0.8362023241324437,0.8783116528586156,,,,97.19237102978856,67.97371530793271,86.58994241666517,,,,,,
acylation,COc1ccc(CNC(=O)C2c3ccccc3Oc3ccccc32)cc1,COc1ccc(CN)cc1,O=C(O)C1c2ccccc2Oc2ccccc21,['AM-III'],AM-III,1,,,,,,,,0.754048497144803,0.7419696746189882,1,0.8734709746542627,0.7571139561415854,0.9024466236956593,,,,91.80791726364089,67.97371530793271,81.09700408858345,,,,,,
acylation,Cc1ccc(CC(=O)NCc2ccc3c(c2)OCO3)cc1,NCc1ccc2c(c1)OCO2,Cc1ccc(CC(=O)O)cc1,['AM-I'],AM-I,1,,71.40595623638784,48.37448741182003,59.34774039700491,,,,1,0.6274636342981785,0.9678922039562331,0.8482155984842399,0.6344566344565052,0.8728929939075462,,,,,,,,,,,,
acylation,CC(C(=O)NCc1ccc2c(c1)OCO2)c1ccc(CBr)cc1,NCc1ccc2c(c1)OCO2,CC(C(=O)O)c1ccc(CBr)cc1,"['AM-I', 'AM-III']","AM-I, AM-III",1,,77.06630777023432,48.37448741182003,65.72914313387578,,,,1,0.6480480113250634,1,0.8284670845803784,0.7696041884168612,0.8544722099767894,,,,87.6079164981823,65.4302602253443,78.1442859168139,,,,,,
acylation,O=C(NCc1ccc2c(c1)OCO2)c1ccc(C(F)(F)F)cn1,NCc1ccc2c(c1)OCO2,O=C(O)c1ccc(C(F)(F)F)cn1,['AM-III'],AM-III,1,,,,,,,,0.9714046771311403,0.7264414108282133,1,0.8112660485770481,0.6363279508315743,0.8309721781567249,,,,88.19220615042192,65.4302602253443,77.40276652894158,,,,,,
acylation,O=C(NCc1ccc2c(c1)OCO2)C1c2ccccc2Oc2ccccc21,NCc1ccc2c(c1)OCO2,O=C(O)C1c2ccccc2Oc2ccccc21,['AM-III'],AM-III,1,,,,,,,,0.6275730173889066,0.6728254581167434,1,0.7698390217444907,0.7576207257222077,0.7975427369430165,,,,90.74213375710367,65.4302602253443,81.09700408858345,,,,,,
acylation,CC(C)(C(=O)NCc1ccc2c(c1)OCO2)c1ccccc1,NCc1ccc2c(c1)OCO2,CC(C)(C(=O)O)c1ccccc1,"['AM-I', 'AM-III']","AM-I, AM-III",1,,76.1085462199667,48.37448741182003,63.380856167868835,,,,1,0.7239089971668351,1,0.8555891646961931,0.7334638739078565,0.8483500249896123,,,,88.79179189385944,65.4302602253443,75.7618455606329,,,,,,
