feature,importance
fp_762,7.703858852386475
fp_677,7.649383544921875
fp_548,7.642219066619873
fp_37,7.63019323348999
fp_385,7.595195770263672
col821,7.5195159912109375
fp_1021,7.480140209197998
fp_466,7.476066589355469
fp_655,7.450185298919678
fp_515,7.429078578948975
fp_637,7.426156997680664
fp_123,7.360917568206787
fp_302,7.284332275390625
fp_442,7.209208011627197
fp_852,7.199485778808594
fp_710,7.156866073608398
fp_246,7.079761981964111
fp_629,7.058498382568359
fp_535,7.0114288330078125
fp_759,6.9523186683654785
fp_880,6.9295854568481445
fp_748,6.8980326652526855
fp_631,6.869510173797607
fp_969,6.770676136016846
fp_720,6.665594577789307
fp_419,6.544510364532471
fp_966,6.525276184082031
fp_21,6.517914295196533
fp_3,6.516298770904541
fp_811,6.474917888641357
fp_251,6.465729236602783
fp_178,6.396652698516846
fp_222,6.344029903411865
fp_159,6.338065147399902
fp_591,6.3054914474487305
fp_101,6.252920150756836
fp_150,6.234025955200195
fp_10,6.229533672332764
fp_839,6.222564220428467
fp_900,6.194736480712891
fp_192,6.1906843185424805
fp_233,6.174230098724365
fp_758,6.162563800811768
fp_177,6.162407398223877
fp_724,6.14793062210083
fp_662,6.126396656036377
fp_272,6.125996112823486
fp_241,6.124302864074707
fp_932,6.10333776473999
fp_915,6.098600387573242
col788,6.068424224853516
fp_757,6.065063953399658
fp_595,6.05003547668457
fp_775,6.049274921417236
fp_738,6.046002388000488
fp_451,6.037866592407227
fp_663,5.934749126434326
fp_905,5.895129680633545
fp_278,5.823787689208984
fp_531,5.818737030029297
fp_406,5.810329914093018
fp_435,5.798007488250732
fp_400,5.773586750030518
col807,5.74824857711792
fp_578,5.731550216674805
fp_1009,5.7144999504089355
fp_550,5.689521789550781
fp_624,5.686702728271484
fp_33,5.680100917816162
fp_725,5.641324520111084
fp_362,5.6009745597839355
fp_226,5.593645095825195
fp_66,5.544073104858398
fp_642,5.4717183113098145
fp_473,5.451207637786865
fp_507,5.237645149230957
fp_953,5.209476470947266
fp_492,5.109392166137695
fp_886,5.077585220336914
fp_62,5.034097194671631
fp_107,5.026127815246582
fp_524,4.961748123168945
fp_608,4.954460620880127
fp_761,4.936191082000732
fp_582,4.914407730102539
fp_640,4.896640300750732
fp_452,4.857006072998047
fp_260,4.822025299072266
col771,4.819522380828857
fp_25,4.791919708251953
fp_918,4.751737117767334
fp_328,4.739659309387207
fp_430,4.696265697479248
fp_909,4.6131696701049805
fp_417,4.612675189971924
col406,4.602835178375244
fp_622,4.565533638000488
fp_540,4.5039753913879395
fp_737,4.464450836181641
col89,4.441525459289551
fp_167,4.421719074249268
fp_43,4.403477668762207
fp_247,4.388197422027588
fp_514,4.385738372802734
fp_55,4.371028900146484
fp_1015,4.322742938995361
col805,4.303981304168701
fp_257,4.3029375076293945
fp_445,4.281443119049072
fp_826,4.197798252105713
fp_146,4.1630330085754395
fp_459,4.132874488830566
fp_299,4.121594429016113
fp_357,4.092631816864014
fp_1001,4.070040225982666
fp_225,4.061437606811523
fp_978,4.045226573944092
fp_449,4.0366034507751465
col326,4.035813331604004
fp_972,3.9727835655212402
fp_789,3.9524619579315186
fp_590,3.940413236618042
fp_103,3.900352954864502
fp_129,3.8984179496765137
fp_266,3.8909687995910645
fp_949,3.8234024047851562
fp_242,3.7879085540771484
fp_846,3.764843225479126
fp_368,3.750896692276001
fp_823,3.619323253631592
fp_773,3.537299394607544
fp_652,3.5255470275878906
fp_440,3.4964706897735596
fp_168,3.4941062927246094
fp_170,3.4899051189422607
fp_93,3.478832721710205
fp_858,3.4703500270843506
fp_58,3.4368386268615723
fp_410,3.3500707149505615
fp_598,3.329044818878174
fp_597,3.2643580436706543
fp_1014,3.242079019546509
fp_49,3.2417850494384766
fp_297,3.1691012382507324
fp_108,3.090036392211914
fp_284,3.036715507507324
fp_729,2.985752820968628
fp_508,2.9818925857543945
fp_903,2.9817769527435303
fp_740,2.9011833667755127
fp_916,2.8440327644348145
fp_929,2.7871408462524414
fp_649,2.744392156600952
col820,2.7409567832946777
fp_539,2.587306261062622
fp_780,2.5840389728546143
fp_899,2.536623001098633
fp_296,2.511664390563965
fp_783,2.3550150394439697
fp_434,2.130377769470215
col745,1.828176736831665
fp_483,1.796952486038208
col84,1.4546786546707153
fp_829,1.3895866870880127
fp_163,1.206772804260254
fp_457,1.0723228454589844
fp_645,0.32185983657836914
col11,0.09122252464294434
