y_true,y_pred,smiles
81.0,82.24726,NC1=CC(C2=CSC3=CC=CC=C32)=CC=C1C
76.8,75.82999,CCN(N=C1)C=C1CNC(C(N(=O)=O)=C2)=CC=C2C(OCC)=O
51.0,54.88768,CC1=CC=CC(C(C=N2)=CC=C2N)=C1
72.6,71.22996,COC1=CC(C2=CN=C(N=C2)F)=C(OC)C=C1
42.6,52.161575,C12=C(N(C3=CSC=C3)C=C2)C=CN=C1
90.0,89.13074,C1(C2=CC3=CC=CC=C3O2)=NC4=CC=CC=C4C=C1
87.0,90.32897,CN1C=CC2=C1C=CC(N3C=CC(C=C4)=C3C=C4C#N)=C2
67.508965,77.95153,NC1=CC=CC(C2=CC([N+]([O-])=O)=CC=C2C)=C1
66.6,62.87285,CC(C)(C)OC(N1CC=C(C2=CN=CN=C2)CC1)=O
70.2,75.0417,COC1=CC=CC(C(N=C2)=NC=C2OC)=C1
58.8,64.65162,FC1=CC=C(C2=CN=C3NC=CC3=C2)C=N1
74.4,78.92845,FC1=CC=C(C2=NC(C)=NC3=CC=CC=C32)C=C1
51.6,56.410263,COC1=NC=C(C2=CN=C(C=C2)N3CCOCC3)C(OC)=N1
82.2,82.97307,COC1=C(C2=CC3=CC=CC=C3C=C2)C=NC(OC)=N1
78.0,75.86366,CC1=CC(F)=CC=C1C2=CC=CC3=C2C=NN3
57.699947,60.16216,NCC1=CC=C(C2=CC3=CC=CC=C3C=C2)N=C1
78.901276,81.10224,CC1=CC=C(C(N=C2)=NC=C2C)C=C1
88.8,87.83489,CC1=C(C2=NC(OC)=CC=C2)C=CC=C1
69.0,77.05858,FC1=NC=C(C2=CC=C3OC=NC3=C2)C(C)=C1
89.30201,87.85395,ClC1=CC(c2cc3c(CCCN3)cc2)=CC=C1
62.4,59.94978,COC1=CC(C2=CC=C(C=C2)C(C)C)=NC=C1
66.6,70.384254,O=CC1=CC=C(C2=CC3=C(C=C2)NC=C3)O1
57.6,68.61514,COC(C1=C(C2=CC(C(O)=O)=C(C=C2)F)N=C(C=C1)C)=O
72.6,83.368484,COC1=CC=C(C=C1)N(C2=CC=C(C=O)S2)C
67.8,66.75056,CC(C1=CC=C(C2=CC=NN2C)C=C1C)=O
103.8,98.32737,CCCCC1=NC(C2=CC=CC(Br)=C2)=CS1
93.6,89.17112,CC1=CC(N2C=CC3=C2C=CC=C3F)=NC4=CC=CC=C14
46.8,55.729088,FC1=CC(N2C3=CC=CN=C3C=C2)=CC=C1OC
78.6,82.94445,CC(C)(C)OC(N1CC=C(C2=CC3=C(N=C2)C=CC=C3)CC1)=O
57.6,55.43664,O=C1N(C2=CC=C3C=C(O)C=CC3=C2)C=C(C)C=C1
54.6,61.50266,CC1=CC=C(C2=C3C=CNC3=NC=N2)C=C1
76.8,78.863045,O=CC1=CC(OC)=C(/C=C(CCC2=C3C4=C(N2C)C=CC=C4)/C3=O)C(OC)=C1
88.8,94.43649,C1(C2=CC3=CC=CC=C3S2)=CC4=C(C=C1)NC=C4
55.8,51.542793,ClCCCC1=NC=CC=C1OC
78.30124,78.16022,CC1=CC(C2=CC=C3C=CC=NC3=C2)=CC(C)=C1
81.6,86.78669,CC1=CC=C(C2=NC3=CC=CC=C3N=C2)C=C1
71.4,72.0829,COC1=CN=C(C2=CC=CS2)C=C1
75.0,72.41869,NC1=C(C2=CC=CC=C2)C=CC=C1
57.0,59.05751,CC(C1=CC(C2=CN=C(C=C2)N3CCOCC3)=CC=C1)=O
77.4,97.70727,CC1CN(C2=CC=CC(OCC3=CC=CC=C3)=C2)CCC1
66.6,65.01217,COC1=CN=CC(C2=CC=CC=C2CC)=C1
60.0,56.19968,COC1=CC=CC(C2=NC=CC3=C2C=CC=C3)=C1
71.4,68.06399,N#CC1=CC=C(C2=CN=CC3=C2C=CC=C3)S1
51.0,56.222786,O=CC1=CC=C(C2=NC=CC=C2)O1
72.0,75.35146,N#CC1=CC=C(C2=CC=CC=C2OC)N=C1
55.8,58.708862,CN(C1=CC=C(C2=CC=CC(C(O)=O)=N2)C=C1)C
82.8,81.159004,CN(C1=NC=C(N(=O)=O)C=N1)CC2=CC=C(C=C2)OC
55.8,55.1679,CC1=NN=C(C2=CC=CS2)C=C1
79.2,87.14453,CC1CN(C2=CC(OC)=CC(C(OC)=O)=N2)CCC1
