Reaction_type,P,S1,S2
acylation,COC(=O)c1cc(F)ccc1NC(=O)c1ccc2nccnc2c1,COC(=O)c1cc(F)ccc1N,O=C(O)c1ccc2nccnc2c1
acylation,COC(=O)c1cc(F)ccc1NC(=O)c1ccc(F)cn1,COC(=O)c1cc(F)ccc1N,O=C(O)c1ccc(F)cn1
acylation,COC(=O)c1cc(F)ccc1NC(=O)c1cnc(Cl)nc1,COC(=O)c1cc(F)ccc1N,O=C(O)c1cnc(Cl)nc1
acylation,COC(=O)c1cc(F)ccc1NC(=O)c1ccc2c(c1)OCCO2,COC(=O)c1cc(F)ccc1N,O=C(O)c1ccc2c(c1)OCCO2
acylation,C[C@@H](NC(=O)c1ccco1)c1ccccc1,C[C@@H](N)c1ccccc1,O=C(O)c1ccco1
acylation,C[C@@H](NC(=O)c1ccc(F)cn1)c1ccccc1,C[C@@H](N)c1ccccc1,O=C(O)c1ccc(F)cn1
acylation,C[C@@H](NC(=O)C1CC2(CC2)CN1C(=O)OC(C)(C)C)c1ccccc1,C[C@@H](N)c1ccccc1,CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O
acylation,Cc1ccc(F)cc1C(=O)NC1CCc2ccccc21,NC1CCc2ccccc21,Cc1ccc(F)cc1C(=O)O
acylation,O=C(NC1CCc2ccccc21)c1ccc2nccnc2c1,NC1CCc2ccccc21,O=C(O)c1ccc2nccnc2c1
acylation,O=C(NC1CCc2ccccc21)c1ccc(F)cn1,NC1CCc2ccccc21,O=C(O)c1ccc(F)cn1
acylation,Cc1cccc(C)c1C(=O)N(c1ccccc1)C(C)C,CC(C)Nc1ccccc1,Cc1cccc(C)c1C(=O)O
acylation,Cc1cc(C)c(C(=O)N(c2ccccc2)C(C)C)c(C)c1,CC(C)Nc1ccccc1,Cc1cc(C)c(C(=O)O)c(C)c1
acylation,CC(C)N(C(=O)c1ccccc1Cc1ccccc1)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)c1ccccc1Cc1ccccc1
acylation,CC(C)N(C(=O)Cc1ccc2c(c1)OCO2)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)Cc1ccc2c(c1)OCO2
acylation,CC(C)N(C(=O)C1c2ccccc2Oc2ccccc21)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)C1c2ccccc2Oc2ccccc21
acylation,CC(C)N(C(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
acylation,CC(C)N(C(=O)c1ccco1)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)c1ccco1
acylation,Cc1cc(C(=O)N(c2ccccc2)C(C)C)cc(Cl)n1,CC(C)Nc1ccccc1,Cc1cc(C(=O)O)cc(Cl)n1
acylation,CC(C)N(C(=O)c1ccc(Br)s1)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)c1ccc(Br)s1
acylation,CC(C)N(C(=O)C1Cc2ccccc2C1)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)C1Cc2ccccc2C1
acylation,CC(C)N(C(=O)C1C(C)(C)C1(C)C)c1ccccc1,CC(C)Nc1ccccc1,CC1(C)C(C(=O)O)C1(C)C
acylation,CC(C)N(C(=O)c1ccc(F)cn1)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)c1ccc(F)cn1
acylation,CC(C)N(C(=O)C1C[C@H]1c1ccccc1)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)C1C[C@H]1c1ccccc1
acylation,CC(C)N(C(=O)c1cnc(Cl)nc1)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)c1cnc(Cl)nc1
acylation,CC(C)N(C(=O)C1CCCN1C(=O)OCc1ccccc1)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)C1CCCN1C(=O)OCc1ccccc1
acylation,CC(C)N(C(=O)C1CCN(C(=O)OCc2ccccc2)CC1)c1ccccc1,CC(C)Nc1ccccc1,O=C(O)C1CCN(C(=O)OCc2ccccc2)CC1
acylation,Cc1cc(C)c(C(=O)N(C)c2ccc(F)cc2)c(C)c1,CNc1ccc(F)cc1,Cc1cc(C)c(C(=O)O)c(C)c1
acylation,CN(C(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)c1ccc(F)cc1,CNc1ccc(F)cc1,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1
