SMILES,UV_RT-s,Method
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,52.2,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,52.2,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,51.6,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,51.6,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,51.6,AM-V
COC1=NC(C2=CC=C(N(C)C)C=C2)=NC=C1,51.6,AM-V
CN(N=C1)C=C1NC(C2=C(C3=CC=CC=C3O2)C)=O,51,AM-V
CC(C1=CC=C(C=C1C)OC2=NC=CC=C2OC)=O,51,AM-V
COC1=NC(C2=CC=C(N(C)C)C=C2)=NC=C1,51,AM-V
CN(C(C1=NC2=CC=CC=C2N=C1)=O)C3=CC=CC=C3,49.2,AM-V
FC1=CN=CC(OC2=NC(C)=CC=C2)=C1,49.2,AM-V
C1(CNC2=CC=CC=C2)=NC3=CC=CC=C3C=C1,49.2,AM-V
C1(CNC2=CC=CC=C2)=NC3=CC=CC=C3C=C1,48.6,AM-V
C1(CNC2=CC=CC=C2)=NC3=CC=CC=C3C=C1,46.8,AM-V
C1(CNC2=CC=CC=C2)=NC3=CC=CC=C3C=C1,46.8,AM-V
O=CC1=CC(OC)=C(C2=CC=NN2C)C=C1OC,46.8,AM-V
O=CC1=CC(OC)=C(C2=CC=NN2C)C=C1OC,46.2,AM-V
COC1=CC=C(C2=CC3=C(C=C2)C=NC=C3)C=C1,45,AM-V
COC1=CC=C(C2=CC3=C(C=C2)C=NC=C3)C=C1,45,AM-V
COC1=CC=C(C2=CC3=C(C=C2)C=NC=C3)C=C1,45,AM-V
O=CC1=CC=C(/C=C/C(NC(C)C)=O)C=C1C,43.8,AM-V
O=CC1=CC=C(/C=C/C(NC(C)C)=O)C=C1C,42.6,AM-V
O=CC1=CC=C(/C=C/C(NC(C)C)=O)C=C1C,41.4,AM-V
N#CC1=CC=CC(C2=CC=NN2C)=C1,35.4,AM-V
N#CC1=CC=CC(C2=CC=NN2C)=C1,35.4,AM-V
COC1=CC=C(C2=C3C=CN=CC3=CC=C2)C=C1,30.6,AM-V
COC1=CC=C(C2=C3C=CN=CC3=CC=C2)C=C1,30.6,AM-V
