feature,importance
fp_195,74.8134765625
fp_940,74.50425720214844
fp_855,74.49010467529297
fp_43,74.1693344116211
fp_462,74.00775909423828
fp_65,73.78460693359375
fp_279,73.54924774169922
fp_837,73.49202728271484
fp_960,73.42367553710938
fp_881,73.33462524414062
fp_932,72.777099609375
fp_237,72.0057601928711
fp_930,71.97004699707031
fp_56,71.54633331298828
fp_775,71.51583099365234
col406,71.14614868164062
fp_669,70.81484985351562
fp_866,70.71673583984375
fp_384,70.58466339111328
fp_862,70.5078353881836
fp_255,70.39742279052734
fp_810,70.15534210205078
fp_273,70.09140014648438
fp_238,69.85819244384766
fp_191,69.7857666015625
fp_780,69.57960510253906
fp_873,69.41703796386719
fp_419,69.35948944091797
fp_72,69.35002136230469
fp_709,69.23912811279297
fp_36,68.8963623046875
fp_249,68.77696990966797
fp_161,68.59684753417969
fp_995,68.47111511230469
col651,68.1757583618164
fp_977,68.03361511230469
fp_257,67.91386413574219
fp_221,67.85809326171875
fp_188,67.84307098388672
fp_511,66.90645599365234
fp_79,66.87557220458984
fp_1023,66.80323028564453
fp_578,66.42851257324219
fp_93,66.21296691894531
fp_441,66.14295196533203
fp_393,65.99451446533203
fp_123,65.73493957519531
fp_323,64.71128845214844
fp_563,64.6634521484375
fp_303,64.62461853027344
fp_640,64.57469177246094
fp_463,64.3598861694336
fp_857,64.33007049560547
fp_175,64.05376434326172
fp_312,63.60222625732422
fp_364,63.288963317871094
fp_787,63.274871826171875
fp_258,62.94308090209961
fp_492,62.45340347290039
fp_421,62.22366714477539
fp_179,62.2069091796875
fp_388,62.06221008300781
fp_427,62.00886535644531
fp_809,61.96728515625
fp_469,61.89604187011719
fp_984,61.57969665527344
fp_514,61.537017822265625
fp_975,61.46721649169922
fp_33,61.315521240234375
fp_943,61.299686431884766
fp_617,61.21718215942383
fp_287,60.91444396972656
fp_970,60.653621673583984
fp_884,60.54546356201172
fp_671,60.5112419128418
fp_525,60.40775680541992
fp_1000,60.30795669555664
fp_879,60.11537551879883
col337,59.98221206665039
fp_843,59.84798812866211
fp_713,59.500762939453125
